item_purchased,size,color,category,season,review_rating,purchase_amount,discount_applied,shipping_type,payment_method,customer_id
Blouse,L,Brown,Clothing,Summer,2.7,77.0,No,Store Pickup,Credit Card,3584
Shirt,S,Black,Clothing,Summer,3.0,261.1362046204621,No,Standard,Debit Card,4118
Boots,L,Gray,Footwear,Summer,3.0,21.0,No,Express,Credit Card,2547
Bag,Free Size,White,Accessories,Autumn,4.0,34.65,Yes,Express,Debit Card,4972
Scarf,Free Size,Peach,Accessories,Fall,3.2,33.0,No,Standard,Credit Card,3365
Boots,L,Green,Footwear,Fall,4.0,22.0,Yes,Free Shipping,Credit Card,1637
Socks,L,Indigo,Clothing,Winter,4.6,89.0,No,2-Day Shipping,Debit Card,2000
Coat,M,Black,Outerwear,Fall,2.9,44.0,No,Free Shipping,Venmo,2603
Boots,M,Violet,Footwear,Fall,3.6,96.0,No,2-Day Shipping,Debit Card,2700
Shoes,M,Black,Footwear,Autumn,4.0,1312.35,Yes,Standard,Cash,4189
Belt,Free Size,Charcoal,Accessories,Summer,2.8,31.0,No,Store Pickup,Cash,3371
Hoodie,XL,Purple,Clothing,Spring,4.6,76.0,No,Store Pickup,Bank Transfer,3599
Shoes,S,Red,Footwear,Autumn,1.0,277.3683027522936,Yes,Standard,Credit Card,4072
Pants,M,Cyan,Clothing,Fall,2.9,88.0,Yes,Express,Venmo,1432
Scarf,Free Size,Black,Accessories,Fall,2.5,66.0,No,Next Day Air,PayPal,2381
Jewelry,Free Size,Indigo,Accessories,Spring,3.5,57.0,No,Store Pickup,Venmo,2120
Shoes,M,Silver,Footwear,Fall,4.8,87.0,No,Standard,Bank Transfer,3502
Shoes,S,Orange,Footwear,Winter,4.8,74.0,No,Standard,Cash,3551
Boots,M,Maroon,Footwear,Spring,3.5,60.0,Yes,2-Day Shipping,Bank Transfer,712
Sneakers,M,Charcoal,Footwear,Spring,4.8,85.0,Yes,Store Pickup,Debit Card,1337
Sneakers,M,Magenta,Footwear,Winter,4.2,22.0,Yes,Standard,Venmo,1047
Gloves,Free Size,Charcoal,Accessories,Winter,4.3,25.0,No,Standard,Cash,2225
Pants,L,Silver,Clothing,Summer,2.9,74.0,No,Free Shipping,Credit Card,3525
Watch,Not Applicable,Black,Electronics,Autumn,3.0759493670886076,532.49,Yes,Standard,Debit Card,4530
Gloves,Free Size,Peach,Accessories,Winter,2.8,94.0,No,Free Shipping,Debit Card,3199
Belt,Free Size,Cyan,Accessories,Summer,4.4,70.0,Yes,Express,Cash,70
Scarf,Free Size,Peach,Accessories,Spring,2.8,52.0,No,Store Pickup,Bank Transfer,2721
Coat,XL,Olive,Outerwear,Winter,3.6,28.0,Yes,Next Day Air,Bank Transfer,436
Jewelry,Free Size,Brown,Accessories,Spring,3.4,39.0,Yes,Express,PayPal,387
Hat,Free Size,Beige,Accessories,Winter,3.3,32.0,No,2-Day Shipping,Credit Card,3867
Hoodie,M,Pink,Clothing,Winter,3.5,67.0,No,Free Shipping,Credit Card,3358
Hoodie,L,Purple,Clothing,Fall,2.8,23.0,Yes,Next Day Air,Cash,608
Coat,S,Blue,Outerwear,Summer,3.7,95.0,Yes,Store Pickup,Cash,115
Laptop,Not Applicable,Red,Electronics,Summer,3.1515151515151514,95.15,No,Standard,Cash,4712
Shirt,M,Blue,Clothing,Spring,4.0,1342.62,Yes,Standard,PayPal,5058
Sunglasses,Free Size,Gold,Accessories,Spring,4.3,25.0,No,Store Pickup,Cash,2568
Watch,Not Applicable,Blue,Electronics,Summer,3.0,662.1159090909091,Yes,Express,PayPal,4381
Watch,Not Applicable,Green,Electronics,Winter,3.0759493670886076,105.21,Yes,Standard,PayPal,4192
Gloves,Free Size,Silver,Accessories,Summer,3.7,39.0,Yes,Next Day Air,Credit Card,235
Skirt,XL,Maroon,Clothing,Spring,4.0,54.0,No,2-Day Shipping,Venmo,3699
Skirt,M,Yellow,Clothing,Spring,3.1,78.0,No,Free Shipping,Debit Card,3215
Boots,M,Brown,Footwear,Winter,3.9,71.0,No,Next Day Air,Credit Card,1876
Sweater,M,White,Clothing,Winter,3.6,32.0,Yes,Free Shipping,PayPal,1625
Scarf,Free Size,Turquoise,Accessories,Spring,2.8,32.0,Yes,Next Day Air,PayPal,1396
Coat,L,Silver,Outerwear,Summer,2.6,97.0,Yes,Express,Venmo,9
Skirt,L,Green,Clothing,Winter,4.9,48.0,No,Standard,Venmo,2168
Hat,Free Size,Brown,Accessories,Fall,3.9,39.0,Yes,Free Shipping,Bank Transfer,749
Dress,XL,Orange,Clothing,Spring,4.4,82.0,No,Free Shipping,Venmo,2507
Dress,M,Black,Clothing,Spring,3.9,93.0,Yes,Express,PayPal,1285
Watch,Not Applicable,White,Electronics,Summer,5.0,662.1159090909091,No,Standard,Cash,4047
Shirt,S,Green,Clothing,Winter,2.0,261.1362046204621,Yes,Standard,Debit Card,5014
Shirt,S,Teal,Clothing,Winter,3.1,46.0,Yes,2-Day Shipping,Credit Card,1195
Jeans,L,Green,Clothing,Fall,3.2,53.0,No,Store Pickup,Cash,2013
Watch,Not Applicable,White,Electronics,Summer,2.0,662.1159090909091,No,Express,Credit Card,4076
Boots,L,Blue,Footwear,Fall,2.7,24.0,No,Standard,Venmo,2050
Pants,XL,Peach,Clothing,Spring,4.5,56.0,Yes,Express,PayPal,1306
Bag,Free Size,Green,Accessories,Summer,3.159090909090909,737.5294936708862,Yes,Express,Debit Card,5024
T-shirt,M,White,Clothing,Fall,3.8,59.0,No,Free Shipping,Venmo,3170
Hat,Free Size,Peach,Accessories,Fall,4.0,58.0,Yes,2-Day Shipping,Cash,1116
Sneakers,L,Yellow,Footwear,Winter,3.8,39.0,No,Standard,Debit Card,2317
Sweater,S,Gray,Clothing,Winter,4.8,97.0,Yes,Next Day Air,Venmo,728
Jeans,L,Turquoise,Clothing,Winter,4.6,24.0,Yes,Free Shipping,PayPal,467
Headphones,Not Applicable,Red,Electronics,Spring,3.1139240506329116,825.1690217391305,Yes,Express,Debit Card,4235
Handbag,Free Size,Purple,Accessories,Fall,3.1,36.0,Yes,Free Shipping,Venmo,656
Shoes,M,Red,Footwear,Summer,3.5454545454545454,277.3683027522936,No,Express,PayPal,4542
Jeans,XL,Teal,Clothing,Spring,2.6,67.0,Yes,Next Day Air,Bank Transfer,99
Sunglasses,Free Size,Blue,Accessories,Winter,2.9,36.0,No,Standard,Debit Card,3681
Hat,Free Size,Peach,Accessories,Winter,3.9,31.0,No,Express,Credit Card,3715
Backpack,Free Size,Violet,Accessories,Summer,2.7,99.0,No,Free Shipping,Debit Card,2726
Scarf,Free Size,Peach,Accessories,Spring,2.7,56.0,No,Next Day Air,PayPal,2544
Jeans,M,Teal,Clothing,Fall,3.3,56.0,No,Free Shipping,Cash,2834
Backpack,Free Size,Teal,Accessories,Summer,3.3,97.0,Yes,Store Pickup,Cash,1084
Scarf,Free Size,Teal,Accessories,Spring,3.5,39.0,No,2-Day Shipping,Credit Card,2904
Boots,L,Green,Footwear,Spring,2.5,63.0,Yes,2-Day Shipping,Credit Card,964
T-shirt,M,Lavender,Clothing,Winter,4.0,53.0,Yes,Standard,Venmo,299
Shoes,M,Indigo,Footwear,Spring,3.5454545454545454,50.0,Yes,Free Shipping,Cash,1327
Boots,M,Olive,Footwear,Summer,3.1,92.0,No,Free Shipping,Credit Card,2789
Shoes,M,Olive,Footwear,Spring,3.7,55.0,No,Free Shipping,Debit Card,2321
Skirt,M,Maroon,Clothing,Spring,4.7,91.0,Yes,Free Shipping,Venmo,79
Sneakers,M,Gray,Footwear,Spring,3.3,54.0,Yes,Express,Credit Card,771
Blouse,M,Maroon,Clothing,Winter,3.5,44.0,Yes,Next Day Air,PayPal,1543
Pants,M,Teal,Clothing,Summer,4.4,66.0,No,Store Pickup,Credit Card,2223
Scarf,Free Size,Gold,Accessories,Spring,3.1,78.0,No,Express,Bank Transfer,3461
Gloves,Free Size,Gold,Accessories,Summer,2.7,53.0,No,Next Day Air,Bank Transfer,1952
Shoes,S,Red,Footwear,Winter,3.5454545454545454,277.3683027522936,No,Standard,PayPal,4552
Coat,S,Beige,Outerwear,Summer,3.9,90.0,Yes,Next Day Air,Debit Card,1645
T-shirt,L,Cyan,Clothing,Summer,3.9,80.0,Yes,Free Shipping,Debit Card,510
Hat,Free Size,Magenta,Accessories,Winter,3.2,48.0,No,Next Day Air,PayPal,2854
Scarf,Free Size,Silver,Accessories,Spring,4.1,32.0,Yes,Standard,Credit Card,378
Dress,M,Purple,Clothing,Winter,3.6,94.0,Yes,Standard,PayPal,827
Shirt,M,Black,Clothing,Autumn,5.0,450.41,Yes,Standard,Cash,4571
Coat,L,Magenta,Outerwear,Summer,3.5,32.0,Yes,2-Day Shipping,Debit Card,546
Blouse,S,Brown,Clothing,Summer,4.0,94.0,No,Standard,Bank Transfer,2085
Skirt,M,Gray,Clothing,Summer,4.4,88.0,Yes,Store Pickup,Debit Card,641
Watch,Not Applicable,Green,Electronics,Summer,2.0,662.1159090909091,Yes,Standard,Credit Card,5037
Phone,Not Applicable,Red,Electronics,Winter,2.9156626506024095,854.96,Yes,Standard,PayPal,4843
Backpack,Free Size,Pink,Accessories,Fall,4.3,22.0,No,Express,Bank Transfer,1771
T-shirt,M,Silver,Clothing,Summer,4.8,64.0,No,Next Day Air,Credit Card,1861
Headphones,Not Applicable,Blue,Electronics,Winter,3.0,825.1690217391305,Yes,Standard,Debit Card,4011
Sweater,M,Yellow,Clothing,Fall,3.8,72.0,No,Express,Debit Card,2915
Watch,Not Applicable,Green,Electronics,Autumn,4.0,585.1,Yes,Express,Credit Card,5009
Shoes,M,White,Footwear,Autumn,3.5454545454545454,758.1,No,Standard,PayPal,5083
Belt,Free Size,Teal,Accessories,Summer,4.3,20.0,No,2-Day Shipping,Credit Card,2990
Shoes,M,White,Footwear,Spring,1.0,1438.53,Yes,Standard,Cash,4079
Handbag,Free Size,Silver,Accessories,Fall,3.4,33.0,No,2-Day Shipping,Bank Transfer,2056
Blouse,S,Purple,Clothing,Spring,5.0,96.0,No,Express,Cash,1994
Bag,Free Size,Green,Accessories,Winter,3.159090909090909,737.5294936708862,No,Express,Cash,4257
Jacket,L,Brown,Outerwear,Winter,3.1,67.0,No,Standard,Debit Card,2347
Backpack,Free Size,Green,Accessories,Fall,3.3,96.0,No,Standard,PayPal,3063
Jacket,XL,Purple,Outerwear,Winter,3.7,95.0,No,Express,Credit Card,1967
Backpack,Free Size,Violet,Accessories,Summer,3.7,68.0,No,Free Shipping,Credit Card,2131
Phone,Not Applicable,Green,Electronics,Autumn,2.9156626506024095,495.98,No,Standard,Debit Card,4171
Handbag,Free Size,Gray,Accessories,Spring,4.7,21.0,Yes,Store Pickup,PayPal,818
Hat,Free Size,Cyan,Accessories,Winter,3.5,94.0,No,Express,Bank Transfer,3336
T-shirt,L,Green,Clothing,Summer,2.9,78.0,No,Express,PayPal,2100
Jeans,M,Peach,Clothing,Winter,3.2,76.0,Yes,Store Pickup,PayPal,383
Laptop,Not Applicable,Green,Electronics,Spring,2.0,1366.1,Yes,Standard,Debit Card,4991
Skirt,L,Gold,Clothing,Winter,2.9,100.0,Yes,Next Day Air,PayPal,1592
Shoes,L,Green,Footwear,Spring,3.5454545454545454,277.3683027522936,Yes,Standard,Debit Card,4077
Sunglasses,Free Size,Lavender,Accessories,Winter,2.6,76.0,No,Store Pickup,Bank Transfer,3127
Sandals,S,Black,Footwear,Spring,2.7,54.0,No,Store Pickup,Bank Transfer,3759
Skirt,M,Gray,Clothing,Fall,2.6,36.0,No,Standard,Venmo,1877
Watch,Not Applicable,White,Electronics,Winter,3.0,662.1159090909091,Yes,Standard,Debit Card,4896
Pants,M,Teal,Clothing,Fall,4.3,44.0,Yes,Next Day Air,Cash,1564
Shirt,S,Brown,Clothing,Fall,4.1,93.0,Yes,Standard,Venmo,1610
Shoes,M,Purple,Footwear,Summer,3.5,64.0,Yes,2-Day Shipping,Bank Transfer,148
Belt,Free Size,Charcoal,Accessories,Summer,4.8,49.0,No,Free Shipping,Credit Card,2946
Gloves,Free Size,Gray,Accessories,Fall,2.6,90.0,Yes,Store Pickup,Debit Card,149
Shirt,S,Red,Clothing,Spring,2.0,261.1362046204621,No,Express,Debit Card,5095
Backpack,Free Size,Gray,Accessories,Winter,4.5,81.0,No,Standard,Venmo,2564
Shorts,L,Pink,Clothing,Fall,4.1,46.0,Yes,2-Day Shipping,Debit Card,470
Scarf,Free Size,Orange,Accessories,Winter,3.6,35.0,No,Express,Bank Transfer,2027
Dress,M,Olive,Clothing,Fall,3.7,88.0,No,Standard,Venmo,2957
Sunglasses,Free Size,Brown,Accessories,Fall,2.9,66.0,No,Next Day Air,Credit Card,1995
Laptop,Not Applicable,Green,Electronics,Summer,3.0,809.5398611111111,Yes,Standard,Cash,4933
Backpack,Free Size,Black,Accessories,Summer,4.0,26.0,Yes,Standard,Venmo,111
Hoodie,M,Silver,Clothing,Summer,3.1,30.0,Yes,Express,Venmo,1010
Shoes,M,Green,Footwear,Spring,4.0,585.85,No,Express,PayPal,4355
Laptop,Not Applicable,Red,Electronics,Summer,3.1515151515151514,772.94,Yes,Standard,Cash,4743
Socks,M,White,Clothing,Spring,4.7,94.0,Yes,Free Shipping,Debit Card,585
Sweater,M,Olive,Clothing,Summer,3.8,40.0,Yes,2-Day Shipping,Bank Transfer,976
Socks,L,Blue,Clothing,Spring,2.5,38.0,No,Store Pickup,Venmo,2287
Sandals,M,Teal,Footwear,Summer,2.6,49.0,No,Free Shipping,Bank Transfer,1978
Phone,Not Applicable,White,Electronics,Spring,2.9156626506024095,752.5371604938272,Yes,Standard,Credit Card,4741
Scarf,Free Size,Gray,Accessories,Summer,4.4,74.0,No,Next Day Air,Credit Card,2228
Backpack,Free Size,Gold,Accessories,Fall,4.5,97.0,No,Store Pickup,Bank Transfer,2019
Headphones,Not Applicable,Blue,Electronics,Winter,2.0,1430.07,No,Standard,Cash,5027
Watch,Not Applicable,Black,Electronics,Autumn,3.0759493670886076,1186.98,No,Standard,Credit Card,5082
Watch,Not Applicable,Red,Electronics,Spring,3.0759493670886076,662.1159090909091,Yes,Standard,Cash,4249
Shirt,M,Cyan,Clothing,Winter,3.4,20.0,Yes,2-Day Shipping,Cash,638
Jeans,M,Silver,Clothing,Summer,3.5,48.0,No,Store Pickup,PayPal,3357
Shirt,M,Maroon,Clothing,Spring,5.0,60.0,Yes,Standard,Venmo,777
Jeans,S,Cyan,Clothing,Winter,3.4,20.0,No,Express,Venmo,2439
Blouse,M,Orange,Clothing,Fall,3.9,35.0,No,Standard,PayPal,2690
Shoes,M,Maroon,Footwear,Winter,4.1,32.0,No,Next Day Air,Debit Card,2552
Headphones,Not Applicable,Blue,Electronics,Autumn,1.0,1223.83,Yes,Standard,Credit Card,4424
Bag,Free Size,Red,Accessories,Autumn,1.0,737.5294936708862,No,Express,PayPal,4214
Sunglasses,Free Size,Olive,Accessories,Winter,3.5,38.0,No,Standard,Bank Transfer,3526
Jeans,S,Silver,Clothing,Summer,3.8,74.0,Yes,Standard,Cash,406
Boots,M,Charcoal,Footwear,Summer,4.4,55.0,No,2-Day Shipping,Cash,2326
Hat,Free Size,Brown,Accessories,Summer,3.8,52.0,No,Standard,Venmo,2934
Skirt,M,Gray,Clothing,Spring,3.8,94.0,Yes,Standard,Debit Card,116
Socks,XL,Beige,Clothing,Summer,2.7,29.0,No,Next Day Air,PayPal,3208
Sandals,M,Gold,Footwear,Winter,2.6,98.0,No,Store Pickup,Bank Transfer,1841
Jacket,L,Turquoise,Outerwear,Spring,4.9,77.0,Yes,Store Pickup,Bank Transfer,583
Shirt,L,Lavender,Clothing,Fall,3.5,87.0,No,Next Day Air,Credit Card,1698
Sunglasses,Free Size,Orange,Accessories,Winter,3.5,31.0,Yes,2-Day Shipping,Venmo,739
Sunglasses,Free Size,Peach,Accessories,Winter,4.9,30.0,No,Express,Credit Card,3142
Handbag,Free Size,Gray,Accessories,Spring,3.5,92.0,No,Standard,Credit Card,3538
T-shirt,M,Violet,Clothing,Winter,3.4,66.0,No,Standard,PayPal,2249
Bag,Free Size,Blue,Accessories,Spring,3.159090909090909,187.34,Yes,Express,PayPal,4557
Blouse,M,Blue,Clothing,Spring,3.3,70.0,Yes,2-Day Shipping,Debit Card,1054
Shoes,S,Olive,Footwear,Winter,4.4,59.0,Yes,Next Day Air,Bank Transfer,346
Jacket,M,Silver,Outerwear,Fall,4.0,56.0,Yes,Next Day Air,Debit Card,1387
Dress,M,Cyan,Clothing,Summer,2.5,45.0,Yes,Free Shipping,Credit Card,1399
Shorts,L,Maroon,Clothing,Winter,4.2,40.0,No,Store Pickup,PayPal,1900
Coat,S,Lavender,Outerwear,Spring,4.5,84.0,No,Store Pickup,Venmo,2323
Jacket,M,Cyan,Outerwear,Spring,3.4,53.0,No,Standard,Bank Transfer,2750
Coat,L,Silver,Outerwear,Summer,4.1,24.0,Yes,Express,PayPal,922
Dress,L,Gold,Clothing,Summer,3.3,53.0,Yes,Next Day Air,Debit Card,78
Gloves,Free Size,Magenta,Accessories,Spring,3.9,40.0,Yes,Next Day Air,Bank Transfer,651
Hoodie,M,White,Clothing,Spring,5.0,36.0,No,Free Shipping,Credit Card,1933
Handbag,Free Size,Brown,Accessories,Summer,3.1,44.0,No,Store Pickup,Bank Transfer,1747
Jewelry,Free Size,Red,Accessories,Spring,3.6,20.0,Yes,Next Day Air,Credit Card,27
Shirt,M,Olive,Clothing,Summer,4.8,82.0,Yes,Standard,Venmo,325
