item_purchased,size,color,category,season,review_rating,purchase_amount,discount_applied,shipping_type,payment_method,customer_id,age,gender,subscription_status,previous_purchases,frequency_of_purchases,location
Phone,Not Applicable,Green,Electronics,Autumn,2.9156626506024095,752.5371604938272,Yes,Standard,Cash,4256,70.0,Male,Yes,25.0,Weekly,Los Angeles
Jacket,L,Blue,Outerwear,Fall,2.5,80.0,Yes,Express,Cash,833,58.0,Male,Yes,28.0,Bi-Weekly,California
T-shirt,S,Olive,Clothing,Spring,3.0,83.0,Yes,Next Day Air,Venmo,1106,33.0,Male,No,6.0,Every 3 Months,Massachusetts
Shoes,M,White,Footwear,Spring,3.2,49.0,No,Store Pickup,Cash,3047,60.0,Female,No,25.0,Every 3 Months,Pennsylvania
Phone,Not Applicable,Black,Electronics,Summer,2.9156626506024095,1032.09,No,Express,PayPal,4685,68.0,Other,No,0.0,Monthly,Phoenix
Pants,L,Yellow,Clothing,Winter,4.5,26.0,Yes,Next Day Air,Debit Card,1612,41.0,Male,No,6.0,Monthly,Arkansas
Phone,Not Applicable,Red,Electronics,Autumn,2.9156626506024095,1282.44,Yes,Express,PayPal,4289,34.0,Female,No,36.0,Weekly,New York
Gloves,Free Size,Black,Accessories,Spring,2.6,31.0,No,Store Pickup,Venmo,3552,66.0,Female,No,20.0,Weekly,Montana
Shirt,XL,White,Clothing,Winter,2.9,45.0,No,Store Pickup,Venmo,2918,58.0,Female,No,50.0,Annually,Colorado
T-shirt,L,Charcoal,Clothing,Winter,4.1,70.0,Yes,Free Shipping,Venmo,1192,34.0,Male,No,50.0,Quarterly,Indiana
Backpack,Free Size,Green,Accessories,Spring,4.6,30.0,No,2-Day Shipping,PayPal,1907,23.0,Male,No,24.0,Fortnightly,Vermont
Socks,M,Lavender,Clothing,Spring,3.2,91.0,Yes,Standard,PayPal,1332,38.0,Male,No,8.0,Bi-Weekly,Maryland
Jewelry,Free Size,Orange,Accessories,Spring,4.5,24.0,Yes,Express,Debit Card,316,66.0,Male,Yes,24.0,Annually,Wisconsin
Jeans,L,Violet,Clothing,Spring,4.7,50.0,Yes,Next Day Air,Cash,347,49.0,Male,Yes,5.0,Weekly,New Mexico
Handbag,Free Size,Olive,Accessories,Spring,4.7,56.0,No,Store Pickup,Venmo,3115,21.0,Female,No,45.0,Bi-Weekly,Arkansas
Bag,Free Size,White,Accessories,Summer,3.159090909090909,737.5294936708862,No,Express,PayPal,5042,46.0,Other,Yes,31.0,Monthly,Los Angeles
Jacket,S,Magenta,Outerwear,Spring,3.8,33.0,Yes,2-Day Shipping,Debit Card,1498,69.0,Male,No,16.0,Every 3 Months,Michigan
Belt,Free Size,Lavender,Accessories,Winter,3.4,46.0,Yes,Next Day Air,Credit Card,1606,70.0,Male,No,15.0,Bi-Weekly,Connecticut
Watch,Not Applicable,Red,Electronics,Autumn,3.0759493670886076,662.1159090909091,No,Express,PayPal,4418,67.0,Female,No,47.0,Quarterly,Los Angeles
Bag,Free Size,Red,Accessories,Spring,3.159090909090909,737.5294936708862,No,Standard,PayPal,4894,24.0,Other,No,4.0,Quarterly,Los Angeles
Headphones,Not Applicable,Black,Electronics,Summer,3.1139240506329116,825.1690217391305,Yes,Standard,Cash,4576,65.0,Male,No,47.0,Weekly,New York
Blouse,M,Beige,Clothing,Spring,4.6,55.0,No,2-Day Shipping,Bank Transfer,2486,43.0,Male,No,37.0,Annually,Louisiana
Backpack,Free Size,Lavender,Accessories,Summer,2.9,56.0,Yes,Standard,Debit Card,187,39.0,Male,Yes,31.0,Annually,Minnesota
Jewelry,Free Size,Indigo,Accessories,Spring,3.0,32.0,Yes,Express,Cash,275,59.0,Male,No,28.0,Bi-Weekly,Maryland
Sandals,M,Blue,Footwear,Fall,3.5,59.0,Yes,2-Day Shipping,PayPal,1402,23.0,Male,No,1.0,Weekly,Indiana
Skirt,S,Beige,Clothing,Spring,4.9,23.0,Yes,Standard,Cash,1181,23.0,Male,No,34.0,Monthly,Oregon
Skirt,L,Orange,Clothing,Fall,2.8,57.0,No,Store Pickup,PayPal,2130,40.0,Male,No,12.0,Every 3 Months,Minnesota
Shoes,L,Violet,Footwear,Fall,3.2,68.0,Yes,Express,Debit Card,995,53.0,Male,Yes,20.0,Monthly,New York
Jewelry,Free Size,Maroon,Accessories,Winter,3.6,52.0,Yes,Express,Bank Transfer,1230,34.0,Male,No,39.0,Annually,Kansas
Watch,Not Applicable,Green,Electronics,Summer,3.0759493670886076,662.1159090909091,Yes,Express,PayPal,4319,47.0,Other,Yes,28.0,Monthly,Houston
Phone,Not Applicable,Red,Electronics,Summer,2.9156626506024095,748.61,No,Express,PayPal,4489,36.0,Female,No,0.0,Monthly,Los Angeles
Bag,Free Size,Green,Accessories,Winter,4.0,737.5294936708862,Yes,Standard,Debit Card,4708,33.0,Female,Yes,31.0,Quarterly,New York
Laptop,Not Applicable,Green,Electronics,Summer,3.1515151515151514,809.5398611111111,No,Express,Debit Card,4827,20.0,Female,No,17.0,Monthly,Houston
Shirt,M,Cyan,Clothing,Summer,3.9,95.0,Yes,2-Day Shipping,Bank Transfer,1348,44.0,Male,No,47.0,Monthly,Vermont
Watch,Not Applicable,Black,Electronics,Autumn,5.0,662.1159090909091,Yes,Express,Debit Card,4584,55.0,Female,No,0.0,Quarterly,New York
Scarf,Free Size,Charcoal,Accessories,Fall,4.1,53.0,No,Free Shipping,Bank Transfer,3116,26.0,Female,No,9.0,Bi-Weekly,South Dakota
Socks,XL,Beige,Clothing,Summer,3.6,83.0,Yes,Free Shipping,PayPal,1168,60.0,Male,No,16.0,Quarterly,New Jersey
Skirt,L,Charcoal,Clothing,Spring,4.4,86.0,No,Free Shipping,Credit Card,3685,29.0,Female,No,47.0,Bi-Weekly,Pennsylvania
Phone,Not Applicable,Black,Electronics,Summer,2.9156626506024095,752.5371604938272,No,Express,PayPal,4111,49.0,Male,No,0.0,Weekly,Houston
Coat,M,Gold,Outerwear,Spring,4.1,25.0,No,Express,PayPal,2850,56.0,Female,No,27.0,Bi-Weekly,New Hampshire
Sunglasses,Free Size,Violet,Accessories,Summer,3.2,24.0,Yes,Standard,Cash,1636,68.0,Male,No,40.0,Annually,North Carolina
Hat,Free Size,Pink,Accessories,Winter,4.0,44.0,Yes,Standard,Credit Card,1489,23.0,Male,No,37.0,Weekly,Hawaii
Jacket,M,Gray,Outerwear,Summer,4.0,31.0,No,Express,Bank Transfer,3827,50.0,Female,No,25.0,Annually,Montana
Sandals,S,Black,Footwear,Summer,4.0,83.0,No,Next Day Air,Credit Card,2417,59.0,Male,No,26.0,Every 3 Months,Nebraska
Hoodie,L,Pink,Clothing,Winter,5.0,53.0,No,Express,Credit Card,2832,34.0,Female,No,4.0,Weekly,Virginia
Shirt,L,White,Clothing,Autumn,3.4741258741258743,557.24,Yes,Express,PayPal,4607,47.0,Other,No,27.0,Weekly,Los Angeles
Shoes,L,Brown,Footwear,Winter,3.6,66.0,No,Express,Credit Card,2367,30.0,Male,No,32.0,Fortnightly,New Mexico
Watch,Not Applicable,Blue,Electronics,Autumn,3.0759493670886076,662.1159090909091,Yes,Standard,Cash,4851,42.0,Female,No,0.0,Weekly,Chicago
Shorts,M,Magenta,Clothing,Spring,5.0,20.0,Yes,Store Pickup,Debit Card,508,65.0,Male,Yes,33.0,Fortnightly,Maine
Shirt,M,Red,Clothing,Summer,3.4741258741258743,692.11,Yes,Express,Debit Card,4845,19.0,Female,No,41.0,Weekly,New York
Sneakers,S,Cyan,Footwear,Winter,3.9,43.0,No,Next Day Air,Credit Card,2098,33.0,Male,No,5.0,Weekly,Iowa
Coat,S,Blue,Outerwear,Summer,4.4,33.0,Yes,Free Shipping,Bank Transfer,1080,18.0,Male,No,48.0,Monthly,Oklahoma
Bag,Free Size,White,Accessories,Autumn,3.159090909090909,208.02,Yes,Standard,PayPal,4558,41.0,Other,No,0.0,Monthly,Los Angeles
Laptop,Not Applicable,Green,Electronics,Spring,1.0,809.5398611111111,Yes,Standard,Debit Card,4492,59.0,Female,Yes,38.0,Weekly,Phoenix
Laptop,Not Applicable,Blue,Electronics,Summer,3.1515151515151514,809.5398611111111,Yes,Express,Credit Card,4292,27.0,Other,Yes,0.0,Weekly,Houston
Handbag,Free Size,Gold,Accessories,Spring,4.5,64.0,No,Free Shipping,Cash,3036,69.0,Female,No,18.0,Bi-Weekly,Kentucky
Shoes,M,Charcoal,Footwear,Spring,4.9,99.0,No,Free Shipping,Bank Transfer,3554,62.0,Female,No,32.0,Weekly,Minnesota
Gloves,Free Size,Indigo,Accessories,Fall,4.6,23.0,No,Free Shipping,Debit Card,2077,59.0,Male,No,22.0,Bi-Weekly,Florida
Shirt,M,Charcoal,Clothing,Spring,3.1,84.0,No,Free Shipping,Bank Transfer,3088,62.0,Female,No,29.0,Monthly,North Carolina
Shorts,M,Brown,Clothing,Spring,2.7,45.0,No,Free Shipping,Cash,3739,34.0,Female,No,48.0,Fortnightly,Delaware
Jeans,M,Pink,Clothing,Fall,2.6,70.0,No,Express,Cash,3309,55.0,Female,No,29.0,Monthly,Utah
Handbag,Free Size,Cyan,Accessories,Fall,4.6,24.0,No,Standard,Cash,2922,20.0,Female,No,11.0,Fortnightly,Wisconsin
Shirt,XL,Red,Clothing,Summer,2.0,1398.9,No,Express,PayPal,4156,51.0,Other,Yes,7.0,Monthly,Chicago
Headphones,Not Applicable,Red,Electronics,Winter,3.0,500.3,No,Express,PayPal,4869,26.0,Female,No,0.0,Monthly,Phoenix
Shorts,S,Gold,Clothing,Spring,3.6,52.0,Yes,2-Day Shipping,Cash,660,62.0,Male,Yes,8.0,Weekly,Virginia
Hat,Free Size,Peach,Accessories,Fall,2.9,50.0,No,Store Pickup,Credit Card,3632,48.0,Female,No,26.0,Monthly,New Jersey
Hoodie,S,Olive,Clothing,Winter,3.4,85.0,No,Next Day Air,Cash,3217,39.0,Female,No,18.0,Weekly,Illinois
Skirt,M,White,Clothing,Fall,4.6,33.0,No,Standard,Bank Transfer,3696,38.0,Female,No,18.0,Fortnightly,Florida
Jewelry,Free Size,Teal,Accessories,Fall,4.5,95.0,Yes,Standard,Debit Card,146,24.0,Male,Yes,44.0,Quarterly,Missouri
Sunglasses,Free Size,Cyan,Accessories,Spring,4.0,95.0,Yes,2-Day Shipping,Debit Card,693,35.0,Male,Yes,40.0,Every 3 Months,North Dakota
Pants,M,Teal,Clothing,Fall,4.2,52.0,No,2-Day Shipping,Credit Card,1837,66.0,Male,No,35.0,Monthly,South Carolina
Jewelry,Free Size,Gold,Accessories,Summer,3.4,69.0,Yes,Standard,Bank Transfer,598,70.0,Male,Yes,19.0,Fortnightly,Alaska
Handbag,Free Size,Purple,Accessories,Spring,2.6,65.0,Yes,Free Shipping,Credit Card,165,59.0,Male,Yes,5.0,Fortnightly,Delaware
Jeans,M,Magenta,Clothing,Spring,3.9,64.0,Yes,Standard,Credit Card,1186,47.0,Male,No,29.0,Monthly,Maine
Shorts,M,Black,Clothing,Spring,4.1,64.0,No,Express,Debit Card,3328,47.0,Female,No,2.0,Quarterly,Connecticut
Watch,Not Applicable,Blue,Electronics,Winter,3.0759493670886076,498.03,Yes,Standard,Debit Card,4404,67.0,Male,Yes,20.0,Monthly,New York
Shoes,M,Red,Footwear,Spring,3.5454545454545454,277.3683027522936,No,Express,Credit Card,4153,67.0,Other,No,31.0,Monthly,Los Angeles
Laptop,Not Applicable,White,Electronics,Winter,2.0,1392.02,Yes,Standard,Cash,4587,52.0,Male,Yes,0.0,Quarterly,Phoenix
Shoes,M,Black,Footwear,Winter,3.5454545454545454,277.3683027522936,Yes,Standard,Credit Card,4057,41.0,Female,No,10.0,Quarterly,Los Angeles
Sneakers,M,Violet,Footwear,Spring,3.4,69.0,No,Standard,Venmo,3889,45.0,Female,No,14.0,Bi-Weekly,Virginia
Backpack,Free Size,Charcoal,Accessories,Fall,3.6,96.0,Yes,Next Day Air,Bank Transfer,106,69.0,Male,Yes,4.0,Annually,New York
Shoes,XL,Black,Footwear,Autumn,3.5454545454545454,390.25,No,Standard,Credit Card,4176,23.0,Male,No,0.0,Weekly,Chicago
Sneakers,S,Magenta,Footwear,Spring,3.8,21.0,Yes,Free Shipping,Credit Card,63,30.0,Male,Yes,31.0,Fortnightly,Mississippi
Handbag,Free Size,Lavender,Accessories,Fall,4.6,71.0,No,Store Pickup,PayPal,3455,55.0,Female,No,15.0,Bi-Weekly,Louisiana
Hoodie,L,Pink,Clothing,Summer,3.1,73.0,No,Next Day Air,Cash,2500,52.0,Male,No,2.0,Quarterly,Louisiana
Sunglasses,Free Size,Yellow,Accessories,Winter,4.6,94.0,No,Next Day Air,Debit Card,2136,34.0,Male,No,1.0,Every 3 Months,California
Blouse,L,Brown,Clothing,Summer,2.7,77.0,No,Store Pickup,Credit Card,3584,52.0,Female,No,44.0,Every 3 Months,Arizona
Shirt,S,Black,Clothing,Summer,3.0,261.1362046204621,No,Standard,Debit Card,4118,18.0,Other,Yes,0.0,Quarterly,Phoenix
Boots,L,Gray,Footwear,Summer,3.0,21.0,No,Express,Credit Card,2547,63.0,Male,No,4.0,Quarterly,Texas
Bag,Free Size,White,Accessories,Autumn,4.0,34.65,Yes,Express,Debit Card,4972,46.0,Other,No,3.0,Monthly,New York
Scarf,Free Size,Peach,Accessories,Fall,3.2,33.0,No,Standard,Credit Card,3365,50.0,Female,No,7.0,Monthly,Oregon
Boots,L,Green,Footwear,Fall,4.0,22.0,Yes,Free Shipping,Credit Card,1637,58.0,Male,No,49.0,Fortnightly,North Dakota
Socks,L,Indigo,Clothing,Winter,4.6,89.0,No,2-Day Shipping,Debit Card,2000,39.0,Male,No,26.0,Monthly,Tennessee
Coat,M,Black,Outerwear,Fall,2.9,44.0,No,Free Shipping,Venmo,2603,65.0,Male,No,1.0,Quarterly,South Carolina
Boots,M,Violet,Footwear,Fall,3.6,96.0,No,2-Day Shipping,Debit Card,2700,25.0,Female,No,49.0,Annually,Utah
Shoes,M,Black,Footwear,Autumn,4.0,1312.35,Yes,Standard,Cash,4189,38.0,Male,Yes,0.0,Weekly,Los Angeles
Belt,Free Size,Charcoal,Accessories,Summer,2.8,31.0,No,Store Pickup,Cash,3371,30.0,Female,No,46.0,Fortnightly,Illinois
Hoodie,XL,Purple,Clothing,Spring,4.6,76.0,No,Store Pickup,Bank Transfer,3599,23.0,Female,No,19.0,Bi-Weekly,Connecticut
Shoes,S,Red,Footwear,Autumn,1.0,277.3683027522936,Yes,Standard,Credit Card,4072,63.0,Male,No,0.0,Quarterly,Los Angeles
Pants,M,Cyan,Clothing,Fall,2.9,88.0,Yes,Express,Venmo,1432,39.0,Male,No,29.0,Quarterly,South Dakota
Scarf,Free Size,Black,Accessories,Fall,2.5,66.0,No,Next Day Air,PayPal,2381,41.0,Male,No,36.0,Fortnightly,Pennsylvania
Jewelry,Free Size,Indigo,Accessories,Spring,3.5,57.0,No,Store Pickup,Venmo,2120,58.0,Male,No,36.0,Bi-Weekly,Nebraska
Shoes,M,Silver,Footwear,Fall,4.8,87.0,No,Standard,Bank Transfer,3502,53.0,Female,No,43.0,Weekly,Nebraska
Shoes,S,Orange,Footwear,Winter,4.8,74.0,No,Standard,Cash,3551,63.0,Female,No,32.0,Weekly,West Virginia
Boots,M,Maroon,Footwear,Spring,3.5,60.0,Yes,2-Day Shipping,Bank Transfer,712,64.0,Male,Yes,13.0,Bi-Weekly,New Hampshire
Sneakers,M,Charcoal,Footwear,Spring,4.8,85.0,Yes,Store Pickup,Debit Card,1337,23.0,Male,No,44.0,Fortnightly,Oregon
Sneakers,M,Magenta,Footwear,Winter,4.2,22.0,Yes,Standard,Venmo,1047,40.0,Male,Yes,12.0,Annually,Illinois
Gloves,Free Size,Charcoal,Accessories,Winter,4.3,25.0,No,Standard,Cash,2225,18.0,Male,No,38.0,Quarterly,Nebraska
Pants,L,Silver,Clothing,Summer,2.9,74.0,No,Free Shipping,Credit Card,3525,69.0,Female,No,30.0,Monthly,Michigan
Watch,Not Applicable,Black,Electronics,Autumn,3.0759493670886076,532.49,Yes,Standard,Debit Card,4530,20.0,Male,Yes,0.0,Monthly,New York
Gloves,Free Size,Peach,Accessories,Winter,2.8,94.0,No,Free Shipping,Debit Card,3199,61.0,Female,No,39.0,Weekly,Pennsylvania
Belt,Free Size,Cyan,Accessories,Summer,4.4,70.0,Yes,Express,Cash,70,48.0,Male,Yes,5.0,Weekly,Tennessee
Scarf,Free Size,Peach,Accessories,Spring,2.8,52.0,No,Store Pickup,Bank Transfer,2721,55.0,Female,No,45.0,Quarterly,Maryland
Coat,XL,Olive,Outerwear,Winter,3.6,28.0,Yes,Next Day Air,Bank Transfer,436,51.0,Male,Yes,42.0,Monthly,Montana
Jewelry,Free Size,Brown,Accessories,Spring,3.4,39.0,Yes,Express,PayPal,387,64.0,Male,Yes,40.0,Quarterly,Louisiana
Hat,Free Size,Beige,Accessories,Winter,3.3,32.0,No,2-Day Shipping,Credit Card,3867,58.0,Female,No,33.0,Fortnightly,Alaska
Hoodie,M,Pink,Clothing,Winter,3.5,67.0,No,Free Shipping,Credit Card,3358,41.0,Female,No,37.0,Monthly,Arkansas
Hoodie,L,Purple,Clothing,Fall,2.8,23.0,Yes,Next Day Air,Cash,608,47.0,Male,Yes,44.0,Monthly,Indiana
Coat,S,Blue,Outerwear,Summer,3.7,95.0,Yes,Store Pickup,Cash,115,70.0,Male,Yes,9.0,Weekly,Massachusetts
Laptop,Not Applicable,Red,Electronics,Summer,3.1515151515151514,95.15,No,Standard,Cash,4712,60.0,Male,No,16.0,Monthly,Chicago
Shirt,M,Blue,Clothing,Spring,4.0,1342.62,Yes,Standard,PayPal,5058,63.0,Other,Yes,0.0,Quarterly,Los Angeles
Sunglasses,Free Size,Gold,Accessories,Spring,4.3,25.0,No,Store Pickup,Cash,2568,19.0,Male,No,24.0,Fortnightly,Michigan
Watch,Not Applicable,Blue,Electronics,Summer,3.0,662.1159090909091,Yes,Express,PayPal,4381,53.0,Female,No,0.0,Monthly,Chicago
Watch,Not Applicable,Green,Electronics,Winter,3.0759493670886076,105.21,Yes,Standard,PayPal,4192,46.0,Other,Yes,0.0,Monthly,Houston
Gloves,Free Size,Silver,Accessories,Summer,3.7,39.0,Yes,Next Day Air,Credit Card,235,20.0,Male,Yes,24.0,Weekly,South Dakota
Skirt,XL,Maroon,Clothing,Spring,4.0,54.0,No,2-Day Shipping,Venmo,3699,25.0,Female,No,4.0,Annually,California
Skirt,M,Yellow,Clothing,Spring,3.1,78.0,No,Free Shipping,Debit Card,3215,53.0,Female,No,6.0,Annually,Washington
Boots,M,Brown,Footwear,Winter,3.9,71.0,No,Next Day Air,Credit Card,1876,63.0,Male,No,6.0,Quarterly,Tennessee
Sweater,M,White,Clothing,Winter,3.6,32.0,Yes,Free Shipping,PayPal,1625,38.0,Male,No,40.0,Every 3 Months,Florida
Scarf,Free Size,Turquoise,Accessories,Spring,2.8,32.0,Yes,Next Day Air,PayPal,1396,47.0,Male,No,40.0,Bi-Weekly,West Virginia
Coat,L,Silver,Outerwear,Summer,2.6,97.0,Yes,Express,Venmo,9,26.0,Male,Yes,8.0,Annually,West Virginia
Skirt,L,Green,Clothing,Winter,4.9,48.0,No,Standard,Venmo,2168,30.0,Male,No,33.0,Fortnightly,Ohio
Hat,Free Size,Brown,Accessories,Fall,3.9,39.0,Yes,Free Shipping,Bank Transfer,749,35.0,Male,Yes,8.0,Quarterly,South Dakota
Dress,XL,Orange,Clothing,Spring,4.4,82.0,No,Free Shipping,Venmo,2507,57.0,Male,No,19.0,Annually,New York
Dress,M,Black,Clothing,Spring,3.9,93.0,Yes,Express,PayPal,1285,65.0,Male,No,38.0,Fortnightly,Arkansas
Watch,Not Applicable,White,Electronics,Summer,5.0,662.1159090909091,No,Standard,Cash,4047,49.0,Male,Yes,0.0,Weekly,Phoenix
Shirt,S,Green,Clothing,Winter,2.0,261.1362046204621,Yes,Standard,Debit Card,5014,60.0,Female,Yes,44.0,Monthly,Phoenix
Shirt,S,Teal,Clothing,Winter,3.1,46.0,Yes,2-Day Shipping,Credit Card,1195,50.0,Male,No,6.0,Fortnightly,New York
Jeans,L,Green,Clothing,Fall,3.2,53.0,No,Store Pickup,Cash,2013,48.0,Male,No,5.0,Fortnightly,Nevada
Watch,Not Applicable,White,Electronics,Summer,2.0,662.1159090909091,No,Express,Credit Card,4076,57.0,Other,No,38.0,Weekly,Phoenix
Boots,L,Blue,Footwear,Fall,2.7,24.0,No,Standard,Venmo,2050,68.0,Male,No,15.0,Annually,Rhode Island
Pants,XL,Peach,Clothing,Spring,4.5,56.0,Yes,Express,PayPal,1306,31.0,Male,No,2.0,Every 3 Months,Mississippi
Bag,Free Size,Green,Accessories,Summer,3.159090909090909,737.5294936708862,Yes,Express,Debit Card,5024,38.0,Other,Yes,0.0,Quarterly,Los Angeles
T-shirt,M,White,Clothing,Fall,3.8,59.0,No,Free Shipping,Venmo,3170,35.0,Female,No,3.0,Weekly,Georgia
Hat,Free Size,Peach,Accessories,Fall,4.0,58.0,Yes,2-Day Shipping,Cash,1116,30.0,Male,No,37.0,Weekly,New York
Sneakers,L,Yellow,Footwear,Winter,3.8,39.0,No,Standard,Debit Card,2317,28.0,Male,No,7.0,Annually,Montana
Sweater,S,Gray,Clothing,Winter,4.8,97.0,Yes,Next Day Air,Venmo,728,62.0,Male,Yes,37.0,Every 3 Months,Arkansas
Jeans,L,Turquoise,Clothing,Winter,4.6,24.0,Yes,Free Shipping,PayPal,467,38.0,Male,Yes,25.0,Weekly,Vermont
Headphones,Not Applicable,Red,Electronics,Spring,3.1139240506329116,825.1690217391305,Yes,Express,Debit Card,4235,56.0,Other,Yes,0.0,Quarterly,New York
Handbag,Free Size,Purple,Accessories,Fall,3.1,36.0,Yes,Free Shipping,Venmo,656,20.0,Male,Yes,19.0,Monthly,Mississippi
Shoes,M,Red,Footwear,Summer,3.5454545454545454,277.3683027522936,No,Express,PayPal,4542,28.0,Other,Yes,0.0,Weekly,Houston
Jeans,XL,Teal,Clothing,Spring,2.6,67.0,Yes,Next Day Air,Bank Transfer,99,20.0,Male,Yes,20.0,Annually,New York
Sunglasses,Free Size,Blue,Accessories,Winter,2.9,36.0,No,Standard,Debit Card,3681,22.0,Female,No,30.0,Quarterly,Iowa
Hat,Free Size,Peach,Accessories,Winter,3.9,31.0,No,Express,Credit Card,3715,18.0,Female,No,35.0,Weekly,New York
Backpack,Free Size,Violet,Accessories,Summer,2.7,99.0,No,Free Shipping,Debit Card,2726,64.0,Female,No,4.0,Annually,Mississippi
Scarf,Free Size,Peach,Accessories,Spring,2.7,56.0,No,Next Day Air,PayPal,2544,27.0,Male,No,30.0,Bi-Weekly,West Virginia
Jeans,M,Teal,Clothing,Fall,3.3,56.0,No,Free Shipping,Cash,2834,43.0,Female,No,19.0,Monthly,Arkansas
Jeans,M,Teal,Clothing,Fall,3.3,56.0,No,Free Shipping,Cash,2834,43.0,Female,No,19.0,Monthly,Arkansas
Backpack,Free Size,Teal,Accessories,Summer,3.3,97.0,Yes,Store Pickup,Cash,1084,35.0,Male,No,43.0,Weekly,Washington
Scarf,Free Size,Teal,Accessories,Spring,3.5,39.0,No,2-Day Shipping,Credit Card,2904,38.0,Female,No,24.0,Every 3 Months,Delaware
Boots,L,Green,Footwear,Spring,2.5,63.0,Yes,2-Day Shipping,Credit Card,964,21.0,Male,No,14.0,Weekly,South Carolina
T-shirt,M,Lavender,Clothing,Winter,4.0,53.0,Yes,Standard,Venmo,299,69.0,Male,Yes,11.0,Every 3 Months,Maryland
Shoes,M,Indigo,Footwear,Spring,3.5454545454545454,50.0,Yes,Free Shipping,Cash,1327,40.0,Male,No,17.0,Monthly,Texas
Boots,M,Olive,Footwear,Summer,3.1,92.0,No,Free Shipping,Credit Card,2789,56.0,Female,No,2.0,Annually,Rhode Island
Shoes,M,Olive,Footwear,Spring,3.7,55.0,No,Free Shipping,Debit Card,2321,28.0,Male,No,9.0,Every 3 Months,New Mexico
Skirt,M,Maroon,Clothing,Spring,4.7,91.0,Yes,Free Shipping,Venmo,79,50.0,Male,Yes,50.0,Fortnightly,Nebraska
Sneakers,M,Gray,Footwear,Spring,3.3,54.0,Yes,Express,Credit Card,771,19.0,Male,Yes,8.0,Annually,Vermont
Blouse,M,Maroon,Clothing,Winter,3.5,44.0,Yes,Next Day Air,PayPal,1543,59.0,Male,No,43.0,Weekly,Hawaii
Pants,M,Teal,Clothing,Summer,4.4,66.0,No,Store Pickup,Credit Card,2223,32.0,Male,No,30.0,Weekly,Georgia
Scarf,Free Size,Gold,Accessories,Spring,3.1,78.0,No,Express,Bank Transfer,3461,41.0,Female,No,5.0,Bi-Weekly,Indiana
